Package Name;A;Ca;Ce;PAHD;PACHEF;PACHER;PACHL;PACHVC;PAHVL;I;PLOC;PAMI;PNCSS;D;PNOAC;PNOCC;PNOI;PNOSC
stirling.software.common.model.api;0.0;102;0;3.0;63.7647;0.0066;15;14;42.5098;0.0;47;51.6603;0;1.0;0;2;0;0
stirling.software.common.model.api.converters;0.0;6;2;6.8846;630.0892;0.0283;39;28;155.9672;0.25;48;47.4878;0;0.75;0;2;0;0
stirling.software.common.model.api.misc;0.0;8;0;0.0;0.0;0.0;0;0;0.0;0.0;0;0.0;0;1.0;0;0;0;0
stirling.software.common.model.api.security;0.0;3;0;1.5;66.5684;0.0055;14;9;44.379;0.0;55;50.013;0;1.0;0;1;0;0
stirling.software.common.model.enumeration;0.0;14;0;0.0;0.0;0.0;0;0;0.0;0.0;36;∞;14;1.0;0;0;0;0
stirling.software.common.model.exception;0.0;9;0;5.0;90.4737;0.0085;14;12;36.1895;0.0;6;72.019;2;1.0;0;2;0;0
stirling.software.common.model.job;0.0;4;0;30.0;20732.2571;0.2516;157;73;772.8699;0.0;368;23.1077;20;1.0;0;5;0;0
stirling.software.common.model.oauth2;0.0;5;5;88.8372;60041.2112;0.7746;421;219;2463.0328;0.5;339;20.4319;83;0.5;0;4;0;0
stirling.software.common.service;0.0588;74;13;1317.2923;5907009.0241;22.2531;5406;1816;40755.416;0.1494;2831;0.0;1383;0.7918;0;11;1;0
stirling.software.common.util;0.0571;105;21;3425.441;23502774.1668;65.5689;15618;4624;119545.8557;0.1667;8092;0.0;4009;0.7762;0;41;0;0
stirling.software.common.util.misc;0.1667;2;12;210.1518;230790.857;1.8241;612;307;3762.6287;0.8571;333;19.4033;176;0.0238;1;5;0;0
stirling.software.common.util.propertyeditor;0.0;2;1;19.8636;3241.922;0.0871;61;50;287.5684;0.3333;28;50.9746;16;0.6667;0;2;0;0
stirling.software.proprietary;1.0;0;0;0.0;0.0;0.0;0;0;0.0;1.0;0;0.0;0;1.0;0;0;0;0
stirling.software.proprietary.audit;0.1667;12;6;290.4591;834824.4333;4.0645;1107;388;7897.1759;0.3333;641;10.8011;309;0.5;0;3;1;0
stirling.software.proprietary.config;0.0;6;5;71.1856;24456.7879;0.3906;184;126;981.0263;0.4545;96;35.415;33;0.5455;0;4;0;0
stirling.software.proprietary.controller;1.0;0;0;0.0;0.0;0.0;0;0;0.0;1.0;0;0.0;0;1.0;0;0;0;0
stirling.software.proprietary.controller.api;0.0;0;6;191.5085;751800.4138;2.8466;638;217;4599.1035;1.0;268;20.8605;135;0.0;0;2;0;0
stirling.software.proprietary.controller.web;0.0;0;2;10.3636;1734.5804;0.0481;37;23;167.3718;1.0;16;58.0699;7;0.0;0;1;0;0
stirling.software.proprietary.model;0.0;10;1;10.2917;1863.9278;0.0505;39;25;181.1104;0.0909;26;52.9508;4;0.9091;0;1;0;0
stirling.software.proprietary.model.api;1.0;0;0;0.0;0.0;0.0;0;0;0.0;1.0;0;0.0;0;1.0;0;0;0;0
stirling.software.proprietary.model.api.audit;0.0;1;1;11.681;613.8462;0.0403;72;57;254.7579;0.5;164;34.2131;0;0.5;0;5;0;0
stirling.software.proprietary.model.dto;0.0;2;0;2.0;99.6578;0.0072;15;10;49.8289;0.0;40;52.7395;3;1.0;0;1;0;0
stirling.software.proprietary.model.security;0.0;4;0;1.5;111.3464;0.0077;19;15;74.2309;0.0;55;48.4597;0;1.0;0;1;0;0
stirling.software.proprietary.repository;1.0;3;1;0.0;0.0;0.0;0;0;0.0;0.25;0;0.0;0;0.25;0;0;1;0
stirling.software.proprietary.security;0.0;1;21;252.3681;395549.0356;2.6305;816;383;5371.8363;0.9545;406;16.3951;230;0.0455;0;6;0;0
stirling.software.proprietary.security.config;0.4;0;11;159.6136;999874.6532;3.3857;879;355;7104.0944;1.0;400;15.699;326;0.4;0;3;2;0
stirling.software.proprietary.security.configuration;0.0;0;14;185.2885;422523.0609;2.2876;671;334;4741.2125;1.0;415;16.6124;139;0.0;0;4;0;0
stirling.software.proprietary.security.configuration.ee;0.0;0;4;328.4269;2644839.688;7.2811;1821;501;14654.0113;1.0;837;6.4015;489;0.0;0;3;0;0
stirling.software.proprietary.security.controller;1.0;0;0;0.0;0.0;0.0;0;0;0.0;1.0;0;0.0;0;1.0;0;0;0;0
stirling.software.proprietary.security.controller.api;0.0;0;25;338.9389;1827698.0385;6.9547;2149;695;16285.335;1.0;1092;3.5268;563;0.0;0;5;0;0
stirling.software.proprietary.security.controller.api.enterprise;0.0;0;3;25.2857;19339.5437;0.2402;127;65;764.8407;1.0;50;42.5069;20;0.0;0;1;0;0
stirling.software.proprietary.security.controller.web;0.0;0;8;44.227;50501.1123;0.5061;273;124;1698.6601;1.0;118;31.7538;80;0.0;0;2;0;0
stirling.software.proprietary.security.database;0.3333;4;2;9.6111;822.9502;0.0345;38;28;149.5632;0.3333;17;57.6512;8;0.3333;0;2;1;0
stirling.software.proprietary.security.database.repository;0.8;10;6;49.3182;22072.9612;0.2623;83;42;447.5623;0.375;43;45.363;20;0.175;0;1;4;0
stirling.software.proprietary.security.database.service;0.0;0;3;32.6667;16130.4764;0.2128;91;43;493.7901;1.0;44;44.9253;21;0.0;0;1;0;0
stirling.software.proprietary.security.filter;0.0;2;17;348.777;535705.4825;3.5394;1053;501;7008.8198;0.8947;512;13.3508;289;0.1053;0;6;0;0
stirling.software.proprietary.security.model;0.0;31;2;59.8659;18031.2661;0.3581;276;157;1340.1616;0.0606;224;26.1797;38;0.9394;0;7;0;0
stirling.software.proprietary.security.model.api;0.0;2;1;2.1333;199.3694;0.0114;22;19;93.4544;0.3333;35;52.0921;0;0.6667;0;1;0;0
stirling.software.proprietary.security.model.api.admin;0.0;1;0;4.5;87.0293;0.0094;21;20;58.0196;0.0;70;46.8905;0;1.0;0;3;0;0
stirling.software.proprietary.security.model.api.user;0.0;1;0;7.5;135.737;0.0138;26;26;70.7709;0.0;83;44.6456;0;1.0;0;4;0;0
stirling.software.proprietary.security.model.exception;0.0;4;0;11.5;369.2368;0.024;31;22;90.0947;0.0;15;60.4415;5;1.0;0;3;0;0
stirling.software.proprietary.security.oauth2;0.0;1;13;223.5575;430533.4367;2.3463;608;240;3972.117;0.9286;285;20.7209;127;0.0714;0;3;0;0
stirling.software.proprietary.security.repository;1.0;6;2;0.0;0.0;0.0;0;0;0.0;0.25;0;0.0;0;0.25;0;0;1;0
stirling.software.proprietary.security.saml2;0.0;8;11;325.996;415290.5676;3.0448;936;460;5962.7039;0.5789;468;14.7229;231;0.4211;0;7;0;0
stirling.software.proprietary.security.service;0.2143;24;44;892.6848;3447822.7111;12.6597;2990;1074;21419.754;0.6471;1639;0.0;802;0.1387;0;11;3;0
stirling.software.proprietary.security.session;0.0;5;4;114.4327;132817.1856;0.9385;292;122;1680.3445;0.4444;183;27.56;98;0.5556;0;4;0;0
stirling.software.proprietary.service;0.0;2;4;87.6267;62152.0986;0.6543;249;102;1402.2543;0.6667;194;27.5896;64;0.3333;0;2;0;0
stirling.software.proprietary.util;0.0;1;1;32.4;14009.262;0.1937;83;37;432.3846;0.5;29;49.3474;15;0.5;0;1;0;0
stirling.software.proprietary.web;0.0;0;0;54.25;27645.6039;0.366;170;94;971.9032;1.0;69;38.6338;44;0.0;0;2;0;0
